date,temp_max,temp_min,precipitation,city
2020-01-01,7.8,-2.0,0.0,Milan
2020-01-02,7.0,-2.8,0.0,Milan
2020-01-03,7.9,-2.0,0.0,Milan
2020-01-04,9.3,-2.2,0.0,Milan
2020-01-05,11.0,1.5,0.0,Milan
2020-01-06,6.5,-2.0,0.0,Milan
2020-01-07,4.2,-2.5,0.0,Milan
2020-01-08,4.0,-3.8,0.0,Milan
2020-01-09,8.0,-3.5,0.0,Milan
2020-01-10,7.6,-1.1,0.2,Milan
2020-01-11,8.9,-2.2,0.0,Milan
2020-01-12,8.4,-2.0,0.0,Milan
2020-01-13,6.8,-2.8,0.0,Milan
2020-01-14,4.8,-2.8,0.0,Milan
2020-01-15,5.7,2.0,0.0,Milan
2020-01-16,8.7,-1.0,0.0,Milan
2020-01-17,8.8,-1.2,2.5,Milan
2020-01-18,9.3,1.4,14.8,Milan
2020-01-19,9.1,0.6,3.5,Milan
2020-01-20,8.9,-1.1,0.0,Milan
2020-01-21,6.8,-2.4,0.0,Milan
2020-01-22,8.9,-2.8,0.0,Milan
2020-01-23,8.1,-2.9,0.0,Milan
2020-01-24,6.8,-3.2,0.2,Milan
2020-01-25,6.9,1.8,0.2,Milan
2020-01-26,10.4,-0.3,0.0,Milan
2020-01-27,10.4,-0.2,0.4,Milan
2020-01-28,9.9,2.2,1.5,Milan
2020-01-29,13.2,0.4,0.0,Milan
2020-01-30,10.6,-0.2,0.0,Milan
2020-01-31,13.4,0.2,0.0,Milan
2020-02-01,9.9,5.2,2.0,Milan
2020-02-02,12.8,3.7,0.0,Milan
2020-02-03,17.1,5.0,0.0,Milan
2020-02-04,13.9,3.6,0.2,Milan
2020-02-05,12.4,2.5,0.0,Milan
2020-02-06,10.9,-1.6,0.0,Milan
2020-02-07,11.3,-2.6,0.0,Milan
2020-02-08,9.4,-1.4,0.0,Milan
2020-02-09,8.6,-1.8,0.1,Milan
2020-02-10,11.3,4.4,2.9,Milan
2020-02-11,17.9,3.1,0.0,Milan
2020-02-12,14.9,3.8,0.0,Milan
2020-02-13,10.7,0.2,0.7,Milan
2020-02-14,15.1,2.2,0.0,Milan
2020-02-15,12.9,0.8,0.0,Milan
2020-02-16,12.4,0.4,0.0,Milan
2020-02-17,10.1,7.1,7.1,Milan
2020-02-18,14.8,4.2,0.1,Milan
2020-02-19,14.2,5.1,1.0,Milan
2020-02-20,12.6,1.4,0.0,Milan
2020-02-21,15.4,0.9,0.0,Milan
2020-02-22,13.5,2.5,0.0,Milan
2020-02-23,16.2,3.7,0.0,Milan
2020-02-24,19.5,7.4,0.0,Milan
2020-02-25,13.6,7.9,2.1,Milan
2020-02-26,12.4,3.8,1.0,Milan
2020-02-27,10.7,0.1,0.0,Milan
2020-02-28,14.1,3.0,0.0,Milan
2020-02-29,11.1,2.5,2.3,Milan
2020-03-01,8.4,3.3,3.1,Milan
2020-03-02,7.4,2.5,41.9,Milan
2020-03-03,13.8,4.0,5.8,Milan
2020-03-04,13.4,2.0,0.2,Milan
2020-03-05,9.1,3.5,13.0,Milan
2020-03-06,12.1,2.4,2.7,Milan
2020-03-07,16.2,1.0,0.0,Milan
2020-03-08,13.4,0.9,0.0,Milan
2020-03-09,10.6,2.3,1.3,Milan
2020-03-10,15.7,2.1,0.0,Milan
2020-03-11,19.2,3.8,0.0,Milan
2020-03-12,15.3,7.3,0.4,Milan
2020-03-13,18.5,9.9,2.0,Milan
2020-03-14,12.2,7.8,11.7,Milan
2020-03-15,12.4,4.4,0.0,Milan
2020-03-16,13.9,2.8,0.0,Milan
2020-03-17,15.9,2.8,0.0,Milan
2020-03-18,18.4,3.7,0.0,Milan
2020-03-19,19.5,5.2,0.0,Milan
2020-03-20,17.3,6.3,1.3,Milan
2020-03-21,17.9,5.7,0.0,Milan
2020-03-22,14.8,9.2,0.2,Milan
2020-03-23,9.4,2.2,0.0,Milan
2020-03-24,11.1,0.6,0.0,Milan
2020-03-25,8.1,1.5,0.2,Milan
2020-03-26,7.4,-0.2,0.2,Milan
2020-03-27,13.0,4.6,0.7,Milan
2020-03-28,17.2,8.1,0.0,Milan
2020-03-29,18.5,5.4,3.5,Milan
2020-03-30,14.1,5.9,8.8,Milan
2020-03-31,9.2,2.5,3.6,Milan
2020-04-01,10.2,2.0,0.0,Milan
2020-04-02,12.4,-0.4,0.0,Milan
2020-04-03,15.6,0.7,0.0,Milan
2020-04-04,17.9,2.8,0.0,Milan
2020-04-05,17.4,6.7,0.0,Milan
2020-04-06,19.6,6.7,0.0,Milan
2020-04-07,20.6,6.2,0.0,Milan
2020-04-08,20.6,7.1,0.0,Milan
2020-04-09,22.0,6.4,0.0,Milan
2020-04-10,23.4,6.9,0.0,Milan
2020-04-11,24.5,7.1,0.0,Milan
2020-04-12,23.3,9.2,0.0,Milan
2020-04-13,21.8,10.6,0.0,Milan
2020-04-14,23.0,9.9,0.0,Milan
2020-04-15,16.3,8.4,0.0,Milan
2020-04-16,18.6,5.0,0.0,Milan
2020-04-17,21.8,7.2,0.0,Milan
2020-04-18,22.0,9.1,0.0,Milan
2020-04-19,21.5,10.2,1.6,Milan
2020-04-20,15.4,11.3,15.5,Milan
2020-04-21,15.4,9.2,4.9,Milan
2020-04-22,19.9,7.8,0.0,Milan
2020-04-23,20.6,8.3,0.0,Milan
2020-04-24,23.0,7.8,0.0,Milan
2020-04-25,23.2,11.6,0.0,Milan
2020-04-26,21.9,12.6,0.0,Milan
2020-04-27,19.5,12.2,0.3,Milan
2020-04-28,19.6,13.2,14.5,Milan
2020-04-29,21.9,10.6,2.7,Milan
2020-04-30,19.8,11.7,8.4,Milan
2020-05-01,19.1,11.0,2.2,Milan
2020-05-02,23.6,9.8,0.0,Milan
2020-05-03,22.6,13.6,0.2,Milan
2020-05-04,22.8,12.8,0.0,Milan
2020-05-05,24.0,11.9,0.3,Milan
2020-05-06,22.4,12.9,0.3,Milan
2020-05-07,23.0,12.2,0.0,Milan
2020-05-08,25.5,11.7,0.0,Milan
2020-05-09,25.8,13.1,0.0,Milan
2020-05-10,23.7,15.4,2.6,Milan
2020-05-11,17.4,13.2,20.9,Milan
2020-05-12,22.4,12.9,0.1,Milan
2020-05-13,17.8,12.4,9.7,Milan
2020-05-14,22.6,13.6,10.0,Milan
2020-05-15,20.5,14.9,46.5,Milan
2020-05-16,21.8,14.8,2.5,Milan
2020-05-17,22.4,14.4,6.5,Milan
2020-05-18,25.2,15.5,3.7,Milan
2020-05-19,22.4,16.0,11.7,Milan
2020-05-20,26.1,13.6,0.0,Milan
2020-05-21,25.5,15.9,0.0,Milan
2020-05-22,26.4,15.7,0.0,Milan
2020-05-23,27.0,16.6,1.6,Milan
2020-05-24,24.9,16.6,1.4,Milan
2020-05-25,25.2,15.6,0.0,Milan
2020-05-26,24.5,14.7,0.0,Milan
2020-05-27,24.3,15.1,0.0,Milan
2020-05-28,25.9,12.7,0.1,Milan
2020-05-29,21.5,14.4,0.4,Milan
2020-05-30,23.2,14.7,1.0,Milan
2020-05-31,24.4,14.3,1.1,Milan
2020-06-01,26.1,15.6,0.0,Milan
2020-06-02,28.8,16.1,0.2,Milan
2020-06-03,27.8,14.4,1.5,Milan
2020-06-04,18.0,15.4,22.7,Milan
2020-06-05,25.1,13.8,3.1,Milan
2020-06-06,25.8,14.6,0.0,Milan
2020-06-07,21.8,16.4,46.5,Milan
2020-06-08,18.5,14.6,30.6,Milan
2020-06-09,19.6,14.1,11.2,Milan
2020-06-10,21.4,11.8,1.3,Milan
2020-06-11,20.1,14.2,4.9,Milan
2020-06-12,23.2,13.2,0.4,Milan
2020-06-13,24.4,16.9,0.2,Milan
2020-06-14,25.5,15.9,0.9,Milan
2020-06-15,25.1,15.6,0.9,Milan
2020-06-16,24.2,17.3,4.7,Milan
2020-06-17,21.6,16.8,10.2,Milan
2020-06-18,23.5,14.4,2.3,Milan
2020-06-19,23.5,14.6,1.9,Milan
2020-06-20,26.3,13.7,0.3,Milan
2020-06-21,29.6,16.1,0.0,Milan
2020-06-22,30.1,19.0,0.0,Milan
2020-06-23,30.8,17.8,0.0,Milan
2020-06-24,29.6,19.0,0.0,Milan
2020-06-25,28.3,19.2,0.3,Milan
2020-06-26,28.8,18.1,0.5,Milan
2020-06-27,28.6,19.6,0.5,Milan
2020-06-28,31.6,19.2,0.0,Milan
2020-06-29,30.9,20.2,0.0,Milan
2020-06-30,29.6,21.5,1.0,Milan
2020-07-01,28.2,20.9,1.3,Milan
2020-07-02,30.0,20.3,4.7,Milan
2020-07-03,26.2,19.1,8.9,Milan
2020-07-04,27.5,17.9,2.6,Milan
2020-07-05,29.8,18.5,0.0,Milan
2020-07-06,31.3,19.6,0.9,Milan
2020-07-07,26.1,19.1,0.1,Milan
2020-07-08,27.3,17.7,0.0,Milan
2020-07-09,30.1,18.1,0.0,Milan
2020-07-10,31.8,19.0,0.0,Milan
2020-07-11,28.2,19.8,23.2,Milan
2020-07-12,28.0,19.0,0.0,Milan
2020-07-13,26.8,19.4,0.0,Milan
2020-07-14,26.6,19.1,0.0,Milan
2020-07-15,26.2,17.8,2.8,Milan
2020-07-16,29.0,17.8,0.9,Milan
2020-07-17,28.8,19.5,0.2,Milan
2020-07-18,27.8,18.5,0.3,Milan
2020-07-19,30.5,18.5,0.0,Milan
2020-07-20,32.6,19.8,0.0,Milan
2020-07-21,32.0,21.5,0.0,Milan
2020-07-22,32.8,21.9,3.8,Milan
2020-07-23,31.8,21.0,8.1,Milan
2020-07-24,24.0,18.5,27.4,Milan
2020-07-25,29.5,15.7,0.0,Milan
2020-07-26,29.2,20.0,0.0,Milan
2020-07-27,30.5,20.4,0.2,Milan
2020-07-28,32.7,21.3,0.0,Milan
2020-07-29,33.0,23.0,0.0,Milan
2020-07-30,32.8,22.8,1.6,Milan
2020-07-31,35.2,22.1,3.6,Milan
2020-08-01,35.0,22.1,0.0,Milan
2020-08-02,31.3,22.0,10.5,Milan
2020-08-03,26.1,19.2,16.0,Milan
2020-08-04,26.9,18.4,2.2,Milan
2020-08-05,27.7,15.1,0.0,Milan
2020-08-06,29.6,17.2,0.0,Milan
2020-08-07,30.9,19.5,0.0,Milan
2020-08-08,32.5,21.0,0.0,Milan
2020-08-09,34.0,21.2,0.0,Milan
2020-08-10,33.7,22.6,0.0,Milan
2020-08-11,33.0,21.8,0.0,Milan
2020-08-12,32.0,23.2,0.6,Milan
2020-08-13,28.6,21.8,6.3,Milan
2020-08-14,27.4,20.5,0.4,Milan
2020-08-15,30.8,21.0,0.0,Milan
2020-08-16,28.4,20.6,4.0,Milan
2020-08-17,26.4,19.4,20.4,Milan
2020-08-18,28.0,18.9,5.4,Milan
2020-08-19,28.7,18.7,5.0,Milan
2020-08-20,30.6,20.9,0.6,Milan
2020-08-21,32.0,22.2,0.0,Milan
2020-08-22,33.1,20.6,0.0,Milan
2020-08-23,27.5,20.5,12.1,Milan
2020-08-24,27.2,19.6,0.2,Milan
2020-08-25,27.9,19.1,0.4,Milan
2020-08-26,30.2,20.0,0.5,Milan
2020-08-27,28.9,19.8,0.1,Milan
2020-08-28,26.8,20.1,15.7,Milan
2020-08-29,26.4,19.6,26.6,Milan
2020-08-30,22.8,17.1,32.2,Milan
2020-08-31,23.0,14.6,0.1,Milan
2020-09-01,25.0,14.3,0.0,Milan
2020-09-02,22.2,15.9,6.1,Milan
2020-09-03,24.5,15.1,0.2,Milan
2020-09-04,26.5,15.9,0.0,Milan
2020-09-05,27.8,16.5,0.0,Milan
2020-09-06,27.4,17.0,3.1,Milan
2020-09-07,22.0,17.5,33.3,Milan
2020-09-08,25.8,17.9,0.3,Milan
2020-09-09,26.6,16.6,0.0,Milan
2020-09-10,27.2,17.0,1.6,Milan
2020-09-11,25.9,19.0,3.5,Milan
2020-09-12,28.0,17.3,0.0,Milan
2020-09-13,29.4,18.8,0.0,Milan
2020-09-14,28.5,20.1,0.0,Milan
2020-09-15,28.0,18.4,0.0,Milan
2020-09-16,28.0,19.5,0.0,Milan
2020-09-17,28.9,18.6,0.0,Milan
2020-09-18,27.9,18.9,0.0,Milan
2020-09-19,23.9,17.9,0.0,Milan
2020-09-20,24.0,17.2,1.6,Milan
2020-09-21,23.4,17.3,5.9,Milan
2020-09-22,20.0,16.9,26.8,Milan
2020-09-23,22.4,16.8,6.9,Milan
2020-09-24,21.2,16.1,19.8,Milan
2020-09-25,17.6,12.2,17.5,Milan
2020-09-26,18.9,10.8,0.0,Milan
2020-09-27,17.1,5.8,0.4,Milan
2020-09-28,20.0,7.8,0.0,Milan
2020-09-29,20.8,10.4,0.0,Milan
2020-09-30,21.8,12.4,0.0,Milan
2020-10-01,20.6,14.4,1.7,Milan
2020-10-02,16.9,15.0,46.2,Milan
2020-10-03,20.3,12.1,19.9,Milan
2020-10-04,19.8,10.3,22.9,Milan
2020-10-05,17.9,11.2,5.7,Milan
2020-10-06,17.6,10.6,0.1,Milan
2020-10-07,22.0,10.9,0.1,Milan
2020-10-08,20.5,9.8,0.0,Milan
2020-10-09,19.0,10.3,0.0,Milan
2020-10-10,20.5,10.6,0.6,Milan
2020-10-11,14.8,8.9,11.6,Milan
2020-10-12,18.5,7.3,0.0,Milan
2020-10-13,16.3,4.7,0.0,Milan
2020-10-14,14.6,6.6,2.2,Milan
2020-10-15,12.0,10.1,14.2,Milan
2020-10-16,15.0,7.0,6.3,Milan
2020-10-17,16.5,6.0,0.0,Milan
2020-10-18,16.1,7.1,0.1,Milan
2020-10-19,15.5,8.1,0.9,Milan
2020-10-20,15.7,7.8,0.2,Milan
2020-10-21,14.8,10.6,0.1,Milan
2020-10-22,14.9,10.6,1.5,Milan
2020-10-23,14.1,12.4,11.1,Milan
2020-10-24,16.9,10.2,0.6,Milan
2020-10-25,17.0,9.4,0.2,Milan
2020-10-26,15.1,12.2,29.8,Milan
2020-10-27,15.7,6.7,1.0,Milan
2020-10-28,17.0,6.6,0.0,Milan
2020-10-29,17.1,7.3,0.0,Milan
2020-10-30,17.8,6.8,0.0,Milan
2020-10-31,15.6,7.7,0.0,Milan
2020-11-01,16.5,8.7,0.0,Milan
2020-11-02,17.0,9.3,0.0,Milan
2020-11-03,16.4,11.9,0.0,Milan
2020-11-04,15.9,12.3,1.8,Milan
2020-11-05,17.5,11.8,0.0,Milan
2020-11-06,16.5,9.4,0.0,Milan
2020-11-07,15.4,7.1,0.0,Milan
2020-11-08,17.0,6.8,0.0,Milan
2020-11-09,17.0,7.0,0.0,Milan
2020-11-10,16.1,6.9,0.0,Milan
2020-11-11,13.1,7.4,0.0,Milan
2020-11-12,14.0,8.0,0.0,Milan
2020-11-13,12.4,6.9,0.0,Milan
2020-11-14,13.4,7.1,0.0,Milan
2020-11-15,12.9,7.5,0.3,Milan
2020-11-16,13.9,6.7,4.2,Milan
2020-11-17,13.6,5.7,0.0,Milan
2020-11-18,12.2,3.7,0.0,Milan
2020-11-19,11.6,2.5,0.0,Milan
2020-11-20,14.4,4.7,2.6,Milan
2020-11-21,10.1,1.5,0.0,Milan
2020-11-22,9.6,0.0,0.0,Milan
2020-11-23,9.2,-1.1,0.0,Milan
2020-11-24,10.4,-0.6,0.0,Milan
2020-11-25,9.6,-0.8,0.0,Milan
2020-11-26,7.7,-1.3,0.0,Milan
2020-11-27,4.6,-0.8,0.0,Milan
2020-11-28,7.6,4.1,0.0,Milan
2020-11-29,9.7,4.0,0.0,Milan
2020-11-30,7.4,2.5,0.0,Milan
2020-12-01,5.7,2.5,0.8,Milan
2020-12-02,4.0,0.9,14.2,Milan
2020-12-03,5.0,-0.6,0.0,Milan
2020-12-04,4.6,1.5,36.4,Milan
2020-12-05,4.4,1.5,17.0,Milan
2020-12-06,4.9,2.0,9.1,Milan
2020-12-07,5.2,2.0,14.8,Milan
2020-12-08,6.0,3.9,25.7,Milan
2020-12-09,6.3,4.6,9.7,Milan
2020-12-10,8.1,1.6,2.8,Milan
2020-12-11,4.6,0.8,1.8,Milan
2020-12-12,7.2,2.2,3.1,Milan
2020-12-13,6.4,-0.6,0.0,Milan
2020-12-14,4.8,-1.4,0.0,Milan
2020-12-15,7.4,-0.9,0.9,Milan
2020-12-16,7.4,3.6,1.4,Milan
2020-12-17,9.1,4.2,0.0,Milan
2020-12-18,8.3,5.2,0.0,Milan
2020-12-19,8.4,4.8,2.0,Milan
2020-12-20,8.3,6.7,7.4,Milan
2020-12-21,9.2,6.7,0.4,Milan
2020-12-22,10.8,6.6,0.0,Milan
2020-12-23,9.8,8.1,3.4,Milan
2020-12-24,9.8,5.8,4.7,Milan
2020-12-25,7.4,3.0,11.8,Milan
2020-12-26,8.8,-1.3,0.0,Milan
2020-12-27,3.9,-3.5,0.6,Milan
2020-12-28,1.1,-4.1,27.2,Milan
2020-12-29,1.2,-4.1,0.0,Milan
2020-12-30,1.1,-3.5,0.0,Milan
2020-12-31,0.6,-3.1,0.0,Milan
2021-01-01,1.7,-0.9,19.7,Milan
2021-01-02,4.0,1.6,12.2,Milan
2021-01-03,6.5,3.0,9.0,Milan
2021-01-04,5.8,2.5,5.9,Milan
2021-01-05,6.2,2.2,7.3,Milan
2021-01-06,3.8,0.4,6.5,Milan
2021-01-07,4.9,-1.2,0.0,Milan
2021-01-08,5.1,-4.2,0.0,Milan
2021-01-09,4.9,-3.5,0.0,Milan
2021-01-10,5.3,-3.0,0.0,Milan
2021-01-11,4.6,-4.4,0.0,Milan
2021-01-12,4.9,-4.1,0.0,Milan
2021-01-13,12.0,-1.8,0.0,Milan
2021-01-14,11.9,-2.2,0.0,Milan
2021-01-15,6.2,-0.7,0.0,Milan
2021-01-16,5.6,-3.2,0.0,Milan
2021-01-17,4.6,-3.6,0.0,Milan
2021-01-18,5.8,-4.3,0.0,Milan
2021-01-19,3.5,-4.0,0.0,Milan
2021-01-20,2.7,-0.2,1.5,Milan
2021-01-21,2.5,0.2,5.6,Milan
2021-01-22,5.7,1.8,29.4,Milan
2021-01-23,10.5,1.6,13.3,Milan
2021-01-24,10.8,-0.8,0.0,Milan
2021-01-25,8.6,-0.2,1.3,Milan
2021-01-26,9.8,-1.5,0.0,Milan
2021-01-27,6.7,-3.8,0.4,Milan
2021-01-28,8.6,-1.5,0.2,Milan
2021-01-29,9.3,0.8,0.3,Milan
2021-01-30,10.6,1.9,3.0,Milan
2021-01-31,10.7,4.0,9.1,Milan
2021-02-01,7.8,1.0,1.0,Milan
2021-02-02,8.6,0.2,0.0,Milan
2021-02-03,6.7,4.5,6.5,Milan
2021-02-04,10.6,5.1,1.4,Milan
2021-02-05,9.6,7.3,2.0,Milan
2021-02-06,9.7,7.1,2.2,Milan
2021-02-07,8.8,5.6,27.1,Milan
2021-02-08,12.4,2.7,1.2,Milan
2021-02-09,10.3,5.5,1.4,Milan
2021-02-10,8.4,3.5,17.6,Milan
2021-02-11,13.6,1.8,0.5,Milan
2021-02-12,5.7,0.0,1.1,Milan
2021-02-13,1.9,-4.1,0.3,Milan
2021-02-14,6.1,-4.2,0.0,Milan
2021-02-15,7.1,-5.3,0.0,Milan
2021-02-16,10.4,-1.7,0.0,Milan
2021-02-17,13.7,3.2,0.6,Milan
2021-02-18,8.1,3.3,0.9,Milan
2021-02-19,12.2,6.8,0.2,Milan
2021-02-20,11.1,7.9,0.3,Milan
2021-02-21,12.4,6.4,0.0,Milan
2021-02-22,13.4,4.2,0.0,Milan
2021-02-23,16.2,3.4,0.0,Milan
2021-02-24,18.1,2.8,0.0,Milan
2021-02-25,18.0,2.5,0.0,Milan
2021-02-26,18.0,2.2,0.0,Milan
2021-02-27,18.0,4.2,0.0,Milan
2021-02-28,12.4,3.8,0.0,Milan
2021-03-01,14.6,0.6,0.0,Milan
2021-03-02,14.9,1.4,0.0,Milan
2021-03-03,14.9,0.2,0.0,Milan
2021-03-04,15.1,1.1,0.0,Milan
2021-03-05,15.7,4.0,0.0,Milan
2021-03-06,9.6,4.7,2.1,Milan
2021-03-07,11.1,1.9,0.0,Milan
2021-03-08,11.9,0.9,0.0,Milan
2021-03-09,12.4,2.9,0.2,Milan
2021-03-10,13.8,2.0,0.0,Milan
2021-03-11,12.2,2.8,0.0,Milan
2021-03-12,15.7,5.2,0.1,Milan
2021-03-13,14.8,5.4,0.0,Milan
2021-03-14,13.9,4.3,0.0,Milan
2021-03-15,15.1,1.4,0.0,Milan
2021-03-16,14.8,6.2,0.0,Milan
2021-03-17,14.8,4.0,0.0,Milan
2021-03-18,10.0,3.2,0.4,Milan
2021-03-19,10.1,2.4,0.1,Milan
2021-03-20,10.9,0.9,0.3,Milan
2021-03-21,9.2,-0.2,0.0,Milan
2021-03-22,15.9,-0.2,0.0,Milan
2021-03-23,13.6,4.0,0.0,Milan
2021-03-24,16.5,1.9,0.0,Milan
2021-03-25,17.4,3.0,0.0,Milan
2021-03-26,17.4,4.8,0.0,Milan
2021-03-27,15.4,10.0,0.2,Milan
2021-03-28,18.0,8.1,0.2,Milan
2021-03-29,20.7,5.7,0.0,Milan
2021-03-30,21.8,7.6,0.0,Milan
2021-03-31,23.0,8.9,0.0,Milan
2021-04-01,24.5,8.6,0.0,Milan
